herbicidas,repetição,plot,data,nota,densidade,data,biomassa,data,plot,FEDEGOSO,APAGA-FOGO,CIPO,QUEBRA PEDRA,COLCHAO ,total_plantas,total_m2
Oxyfluorfen,D,406,05/01/2021,95,"5,7",30/01/2021,,,,,,,,,,
Pedimentalina,D,407,05/01/2021,85,"5,0",30/01/2021,,,,,,,,,,
Alacloro,D,408,05/01/2021,87,"6,1",30/01/2021,,,,,,,,,,
Controle,D,409,05/01/2021,x,"6,3",30/01/2021,,,,,,,,,,
Diuron,D,410,05/01/2021,86,"5,8",30/01/2021,,,,,,,,,,
Controle,A,101,12/01/2021,x,,,,,,,,,,,,
S-metolachlor,A,102,12/01/2021,70,,,,,,,,,,,,
Diuron,A,103,12/01/2021,82,,,,,,,,,,,,
Trifluralin,A,104,12/01/2021,93,,,,,,,,,,,,
Oxyfluorfen,A,105,12/01/2021,95,,,,,,,,,,,,
Clomazone,A,106,12/01/2021,80,,,,,,,,,,,,
Clomazone + Diuron,A,107,12/01/2021,80,,,,,,,,,,,,
Pedimentalina,A,108,12/01/2021,75,,,,,,,,,,,,
Alacloro,A,109,12/01/2021,83,,,,,,,,,,,,
Diuron + trifluralin,A,110,12/01/2021,87,,,,,,,,,,,,
Diuron + trifluralin,B,201,12/01/2021,85,,,,,,,,,,,,
Clomazone + Diuron,B,202,12/01/2021,84,,,,,,,,,,,,
Pedimentalina,B,203,12/01/2021,80,,,,,,,,,,,,
Controle,B,204,12/01/2021,x,,,,,,,,,,,,
Diuron,B,205,12/01/2021,80,,,,,,,,,,,,
S-metolachlor,B,206,12/01/2021,89,,,,,,,,,,,,
Alacloro,B,207,12/01/2021,80,,,,,,,,,,,,
Clomazone,B,208,12/01/2021,80,,,,,,,,,,,,
Oxyfluorfen,B,209,12/01/2021,94,,,,,,,,,,,,
trifluralin,B,210,12/01/2021,91,,,,,,,,,,,,
Clomazone,C,301,12/01/2021,81,,,,,,,,,,,,
Diuron,C,302,12/01/2021,79,,,,,,,,,,,,
Oxyfluorfen,C,303,12/01/2021,92,,,,,,,,,,,,
Diuron + trifluralin,C,304,12/01/2021,87,,,,,,,,,,,,
Pedimentalina,C,305,12/01/2021,91,,,,,,,,,,,,
trifluralin,C,306,12/01/2021,90,,,,,,,,,,,,
Controle,C,307,12/01/2021,x,,,,,,,,,,,,
S-metolachlor,C,308,12/01/2021,82,,,,,,,,,,,,
Clomazone + Diuron,C,309,12/01/2021,85,,,,,,,,,,,,
Alacloro,C,310,12/01/2021,81,,,,,,,,,,,,
trifluralin,D,401,12/01/2021,93,,,,,,,,,,,,
Diuron + trifluralin,D,402,12/01/2021,85,,,,,,,,,,,,
S-metolachlor,D,403,12/01/2021,80,,,,,,,,,,,,
Clomazone,D,404,12/01/2021,78,,,,,,,,,,,,
Clomazone + Diuron,D,405,12/01/2021,80,,,,,,,,,,,,
Oxyfluorfen,D,406,12/01/2021,96,,,,,,,,,,,,
Pedimentalina,D,407,12/01/2021,79,,,,,,,,,,,,
Alacloro,D,408,12/01/2021,80,,,,,,,,,,,,
Controle,D,409,12/01/2021,x,,,,,,,,,,,,
Diuron,D,410,12/01/2021,79,,,,,,,,,,,,
Controle,A,101,19/01/2021,x,,,,,,,,,,,,
S-metolachlor,A,102,19/01/2021,60,,,,,,,,,,,,
Diuron,A,103,19/01/2021,72,,,,,,,,,,,,
Trifluralin,A,104,19/01/2021,81,,,,,,,,,,,,
Oxyfluorfen,A,105,19/01/2021,95,,,,,,,,,,,,
Clomazone,A,106,19/01/2021,81,,,,,,,,,,,,
Clomazone + Diuron,A,107,19/01/2021,70,,,,,,,,,,,,
Pedimentalina,A,108,19/01/2021,65,,,,,,,,,,,,
Alacloro,A,109,19/01/2021,80,,,,,,,,,,,,
Diuron + trifluralin,A,110,19/01/2021,89,,,,,,,,,,,,
Diuron + trifluralin,B,201,19/01/2021,81,,,,,,,,,,,,
Clomazone + Diuron,B,202,19/01/2021,79,,,,,,,,,,,,
Pedimentalina,B,203,19/01/2021,70,,,,,,,,,,,,
Controle,B,204,19/01/2021,x,,,,,,,,,,,,
Diuron,B,205,19/01/2021,81,,,,,,,,,,,,
S-metolachlor,B,206,19/01/2021,80,,,,,,,,,,,,
Alacloro,B,207,19/01/2021,81,,,,,,,,,,,,
Clomazone,B,208,19/01/2021,80,,,,,,,,,,,,
Oxyfluorfen,B,209,19/01/2021,87,,,,,,,,,,,,
trifluralin,B,210,19/01/2021,90,,,,,,,,,,,,
Clomazone,C,301,19/01/2021,70,,,,,,,,,,,,
Diuron,C,302,19/01/2021,84,,,,,,,,,,,,
Oxyfluorfen,C,303,19/01/2021,90,,,,,,,,,,,,
Diuron + trifluralin,C,304,19/01/2021,87,,,,,,,,,,,,
Pedimentalina,C,305,19/01/2021,69,,,,,,,,,,,,
trifluralin,C,306,19/01/2021,85,,,,,,,,,,,,
Controle,C,307,19/01/2021,x,,,,,,,,,,,,
S-metolachlor,C,308,19/01/2021,71,,,,,,,,,,,,
Clomazone + Diuron,C,309,19/01/2021,80,,,,,,,,,,,,
Alacloro,C,310,19/01/2021,71,,,,,,,,,,,,
trifluralin,D,401,19/01/2021,87,,,,,,,,,,,,
Diuron + trifluralin,D,402,19/01/2021,80,,,,,,,,,,,,
S-metolachlor,D,403,19/01/2021,79,,,,,,,,,,,,
Clomazone,D,404,19/01/2021,71,,,,,,,,,,,,
Clomazone + Diuron,D,405,19/01/2021,84,,,,,,,,,,,,
Oxyfluorfen,D,406,19/01/2021,89,,,,,,,,,,,,
Pedimentalina,D,407,19/01/2021,79,,,,,,,,,,,,
Alacloro,D,408,19/01/2021,71,,,,,,,,,,,,
Controle,D,409,19/01/2021,x,,,,,,,,,,,,
Diuron,D,410,19/01/2021,79,,,,,,,,,,,,
Controle,A,101,26/01/2021,x,,,,,,,,,,,,
S-metolachlor,A,102,26/01/2021,60,,,,,,,,,,,,
Diuron,A,103,26/01/2021,67,,,,,,,,,,,,
Trifluralin,A,104,26/01/2021,82,,,,,,,,,,,,
Oxyfluorfen,A,105,26/01/2021,90,,,,,,,,,,,,
Clomazone,A,106,26/01/2021,72,,,,,,,,,,,,
Clomazone + Diuron,A,107,26/01/2021,70,,,,,,,,,,,,
Pedimentalina,A,108,26/01/2021,57,,,,,,,,,,,,
Alacloro,A,109,26/01/2021,70,,,,,,,,,,,,
Diuron + trifluralin,A,110,26/01/2021,78,,,,,,,,,,,,
Diuron + trifluralin,B,201,26/01/2021,72,,,,,,,,,,,,
Clomazone + Diuron,B,202,26/01/2021,70,,,,,,,,,,,,
Pedimentalina,B,203,26/01/2021,58,,,,,,,,,,,,
Controle,B,204,26/01/2021,x,,,,,,,,,,,,
Diuron,B,205,26/01/2021,70,,,,,,,,,,,,
S-metolachlor,B,206,26/01/2021,71,,,,,,,,,,,,
Alacloro,B,207,26/01/2021,70,,,,,,,,,,,,
Clomazone,B,208,26/01/2021,77,,,,,,,,,,,,
Oxyfluorfen,B,209,26/01/2021,87,,,,,,,,,,,,
trifluralin,B,210,26/01/2021,85,,,,,,,,,,,,
Clomazone,C,301,26/01/2021,70,,,,,,,,,,,,
Diuron,C,302,26/01/2021,71,,,,,,,,,,,,
Oxyfluorfen,C,303,26/01/2021,83,,,,,,,,,,,,
Diuron + trifluralin,C,304,26/01/2021,78,,,,,,,,,,,,
Pedimentalina,C,305,26/01/2021,60,,,,,,,,,,,,
trifluralin,C,306,26/01/2021,81,,,,,,,,,,,,
Controle,C,307,26/01/2021,x,,,,,,,,,,,,
S-metolachlor,C,308,26/01/2021,75,,,,,,,,,,,,
Clomazone + Diuron,C,309,26/01/2021,74,,,,,,,,,,,,
Alacloro,C,310,26/01/2021,64,,,,,,,,,,,,
trifluralin,D,401,26/01/2021,89,,,,,,,,,,,,
Diuron + trifluralin,D,402,26/01/2021,77,,,,,,,,,,,,
S-metolachlor,D,403,26/01/2021,71,,,,,,,,,,,,
Clomazone,D,404,26/01/2021,67,,,,,,,,,,,,
Clomazone + Diuron,D,405,26/01/2021,72,,,,,,,,,,,,
Oxyfluorfen,D,406,26/01/2021,92,,,,,,,,,,,,
Pedimentalina,D,407,26/01/2021,71,,,,,,,,,,,,
Alacloro,D,408,26/01/2021,70,,,,,,,,,,,,
Controle,D,409,26/01/2021,x,,,,,,,,,,,,
Diuron,D,410,26/01/2021,70,,,,,,,,,,,,
Controle,A,101,02/02/2021,x,,,,,,,,,,,,
S-metolachlor,A,102,02/02/2021,50,,,,,,,,,,,,
Diuron,A,103,02/02/2021,60,,,,,,,,,,,,
Trifluralin,A,104,02/02/2021,72,,,,,,,,,,,,
Oxyfluorfen,A,105,02/02/2021,82,,,,,,,,,,,,
Clomazone,A,106,02/02/2021,58,,,,,,,,,,,,
Clomazone + Diuron,A,107,02/02/2021,56,,,,,,,,,,,,
Pedimentalina,A,108,02/02/2021,52,,,,,,,,,,,,
Alacloro,A,109,02/02/2021,65,,,,,,,,,,,,
Diuron + trifluralin,A,110,02/02/2021,71,,,,,,,,,,,,
Diuron + trifluralin,B,201,02/02/2021,62,,,,,,,,,,,,
Clomazone + Diuron,B,202,02/02/2021,54,,,,,,,,,,,,
Pedimentalina,B,203,02/02/2021,51,,,,,,,,,,,,
Controle,B,204,02/02/2021,x,,,,,,,,,,,,
Diuron,B,205,02/02/2021,61,,,,,,,,,,,,
S-metolachlor,B,206,02/02/2021,55,,,,,,,,,,,,
Alacloro,B,207,02/02/2021,59,,,,,,,,,,,,
Clomazone,B,208,02/02/2021,60,,,,,,,,,,,,
Oxyfluorfen,B,209,02/02/2021,79,,,,,,,,,,,,
trifluralin,B,210,02/02/2021,82,,,,,,,,,,,,
Clomazone,C,301,02/02/2021,64,,,,,,,,,,,,
Diuron,C,302,02/02/2021,64,,,,,,,,,,,,
Oxyfluorfen,C,303,02/02/2021,78,,,,,,,,,,,,
Diuron + trifluralin,C,304,02/02/2021,64,,,,,,,,,,,,
Pedimentalina,C,305,02/02/2021,61,,,,,,,,,,,,
trifluralin,C,306,02/02/2021,80,,,,,,,,,,,,
Controle,C,307,02/02/2021,x,,,,,,,,,,,,
S-metolachlor,C,308,02/02/2021,61,,,,,,,,,,,,
Clomazone + Diuron,C,309,02/02/2021,71,,,,,,,,,,,,
Alacloro,C,310,02/02/2021,64,,,,,,,,,,,,
trifluralin,D,401,02/02/2021,84,,,,,,,,,,,,
Diuron + trifluralin,D,402,02/02/2021,67,,,,,,,,,,,,
S-metolachlor,D,403,02/02/2021,62,,,,,,,,,,,,
Clomazone,D,404,02/02/2021,54,,,,,,,,,,,,
Clomazone + Diuron,D,405,02/02/2021,60,,,,,,,,,,,,
Oxyfluorfen,D,406,02/02/2021,86,,,,,,,,,,,,
Pedimentalina,D,407,02/02/2021,64,,,,,,,,,,,,
Alacloro,D,408,02/02/2021,71,,,,,,,,,,,,
Controle,D,409,02/02/2021,x,,,,,,,,,,,,
Diuron,D,410,02/02/2021,67,,,,,,,,,,,,
Controle,A,101,09/02/2021,x,,,,,,,,,,,,
S-metolachlor,A,102,09/02/2021,50,,,,,,,,,,,,
Diuron,A,103,09/02/2021,62,,,,,,,,,,,,
Trifluralin,A,104,09/02/2021,70,,,,,,,,,,,,
Oxyfluorfen,A,105,09/02/2021,77,,,,,,,,,,,,
Clomazone,A,106,09/02/2021,53,,,,,,,,,,,,
Clomazone + Diuron,A,107,09/02/2021,50,,,,,,,,,,,,
Pedimentalina,A,108,09/02/2021,50,,,,,,,,,,,,
Alacloro,A,109,09/02/2021,60,,,,,,,,,,,,
Diuron + trifluralin,A,110,09/02/2021,71,,,,,,,,,,,,
Diuron + trifluralin,B,201,09/02/2021,54,,,,,,,,,,,,
Clomazone + Diuron,B,202,09/02/2021,52,,,,,,,,,,,,
Pedimentalina,B,203,09/02/2021,51,,,,,,,,,,,,
Controle,B,204,09/02/2021,x,,,,,,,,,,,,
Diuron,B,205,09/02/2021,61,,,,,,,,,,,,
S-metolachlor,B,206,09/02/2021,50,,,,,,,,,,,,
Alacloro,B,207,09/02/2021,54,,,,,,,,,,,,
Clomazone,B,208,09/02/2021,61,,,,,,,,,,,,
Oxyfluorfen,B,209,09/02/2021,60,,,,,,,,,,,,
trifluralin,B,210,09/02/2021,55,,,,,,,,,,,,
Clomazone,C,301,09/02/2021,51,,,,,,,,,,,,
Diuron,C,302,09/02/2021,52,,,,,,,,,,,,
Oxyfluorfen,C,303,09/02/2021,70,,,,,,,,,,,,
Diuron + trifluralin,C,304,09/02/2021,62,,,,,,,,,,,,
Pedimentalina,C,305,09/02/2021,57,,,,,,,,,,,,
trifluralin,C,306,09/02/2021,71,,,,,,,,,,,,
Controle,C,307,09/02/2021,x,,,,,,,,,,,,
S-metolachlor,C,308,09/02/2021,56,,,,,,,,,,,,
Clomazone + Diuron,C,309,09/02/2021,60,,,,,,,,,,,,
Alacloro,C,310,09/02/2021,61,,,,,,,,,,,,
trifluralin,D,401,09/02/2021,79,,,,,,,,,,,,
Diuron + trifluralin,D,402,09/02/2021,65,,,,,,,,,,,,
S-metolachlor,D,403,09/02/2021,51,,,,,,,,,,,,
Clomazone,D,404,09/02/2021,50,,,,,,,,,,,,
Clomazone + Diuron,D,405,09/02/2021,51,,,,,,,,,,,,
Oxyfluorfen,D,406,09/02/2021,72,,,,,,,,,,,,
Pedimentalina,D,407,09/02/2021,61,,,,,,,,,,,,
Alacloro,D,408,09/02/2021,69,,,,,,,,,,,,
Controle,D,409,09/02/2021,x,,,,,,,,,,,,
Diuron,D,410,09/02/2021,60,,,,,,,,,,,,
